mq135,mq8,co2_index,estado
2320,1044,642.6,OCUPADO
2345,1055,619.0,OCUPADO
2336,1051,627.5,OCUPADO
2341,1053,622.8000000000001,OCUPADO
2331,1048,632.3000000000001,OCUPADO
2334,1050,629.4,OCUPADO
2327,1047,636.0,OCUPADO
2324,1045,638.9,OCUPADO
2332,1049,631.3000000000001,OCUPADO
2334,1050,629.4,OCUPADO
2319,1043,643.6,OCUPADO
2331,1048,632.3000000000001,OCUPADO
2322,1044,640.8000000000001,OCUPADO
2323,1045,639.8000000000001,OCUPADO
2319,1043,643.6,OCUPADO
2245,1010,713.5,OCUPADO
2327,1047,636.0,OCUPADO
2337,1051,626.6,OCUPADO
2334,1050,629.4,OCUPADO
2335,1050,628.5,OCUPADO
2339,1052,624.6999999999999,OCUPADO
2340,1053,623.7,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2339,1052,624.6999999999999,OCUPADO
2341,1053,622.8000000000001,OCUPADO
2338,1052,625.6,OCUPADO
2339,1052,624.6999999999999,OCUPADO
2333,1049,630.4000000000001,OCUPADO
2359,1061,605.8,OCUPADO
2347,1056,617.1,OCUPADO
2355,1059,609.6,OCUPADO
2346,1055,618.1,OCUPADO
2350,1057,614.3,OCUPADO
2335,1050,628.5,OCUPADO
2345,1055,619.0,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2339,1052,624.6999999999999,OCUPADO
2347,1056,617.1,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2337,1051,626.6,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2351,1057,613.4,OCUPADO
2346,1055,618.1,OCUPADO
2335,1050,628.5,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2347,1056,617.1,OCUPADO
2336,1051,627.5,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2351,1057,613.4,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2367,1065,598.2,OCUPADO
2358,1061,606.7,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2308,1038,654.0000000000001,OCUPADO
2361,1062,603.9,OCUPADO
2845,1280,146.5,OCUPADO
2354,1059,610.5,OCUPADO
2348,1056,616.2,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2357,1060,607.7,OCUPADO
2355,1059,609.6,OCUPADO
2355,1059,609.6,OCUPADO
2367,1065,598.2,OCUPADO
2360,1062,604.8,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2355,1059,609.6,OCUPADO
2347,1056,617.1,OCUPADO
2347,1056,617.1,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2375,1068,590.7,OCUPADO
2337,1051,626.6,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2363,1063,602.0000000000001,OCUPADO
2373,1067,592.6,OCUPADO
2363,1063,602.0000000000001,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2366,1064,599.2,OCUPADO
1908,858,1032.0,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2366,1064,599.2,OCUPADO
2373,1067,592.6,OCUPADO
2381,1071,585.0,OCUPADO
2379,1070,586.9,OCUPADO
2359,1061,605.8,OCUPADO
2369,1066,596.3,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2370,1066,595.4,OCUPADO
2357,1060,607.7,OCUPADO
2405,1082,562.3,OCUPADO
2387,1074,579.3000000000001,OCUPADO
2366,1064,599.2,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2363,1063,602.0000000000001,OCUPADO
2355,1059,609.6,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2373,1067,592.6,OCUPADO
2402,1080,565.2,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2400,1080,567.0,OCUPADO
2416,1087,551.9,OCUPADO
2429,1093,539.6,OCUPADO
2401,1080,566.1,OCUPADO
2423,1090,545.3000000000001,OCUPADO
2416,1087,551.9,OCUPADO
2405,1082,562.3,OCUPADO
2401,1080,566.1,OCUPADO
2411,1084,556.7,OCUPADO
2387,1074,579.3000000000001,OCUPADO
2412,1085,555.7,OCUPADO
2391,1075,575.6,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2382,1071,584.1,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2375,1068,590.7,OCUPADO
2373,1067,592.6,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2371,1066,594.5,OCUPADO
2369,1066,596.3,OCUPADO
2372,1067,593.5,OCUPADO
2378,1070,587.8000000000001,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2383,1072,583.1,OCUPADO
2371,1066,594.5,OCUPADO
2326,1046,637.0,OCUPADO
2477,1114,494.3,OCUPADO
2340,1053,623.7,OCUPADO
2361,1062,603.9,OCUPADO
2355,1059,609.6,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2362,1062,603.0,OCUPADO
2366,1064,599.2,OCUPADO
2359,1061,605.8,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2387,1074,579.3000000000001,OCUPADO
2325,1046,637.9,OCUPADO
2334,1050,629.4,OCUPADO
2415,1086,552.9,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2355,1059,609.6,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2319,1043,643.6,OCUPADO
2319,1043,643.6,OCUPADO
2335,1050,628.5,OCUPADO
2338,1052,625.6,OCUPADO
2327,1047,636.0,OCUPADO
2327,1047,636.0,OCUPADO
2259,1016,700.3,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2330,1048,633.2,OCUPADO
2351,1057,613.4,OCUPADO
2346,1055,618.1,OCUPADO
2345,1055,619.0,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2336,1051,627.5,OCUPADO
2318,1043,644.5000000000001,OCUPADO
2334,1050,629.4,OCUPADO
2323,1045,639.8000000000001,OCUPADO
2320,1044,642.6,OCUPADO
2374,1068,591.6,OCUPADO
2336,1051,627.5,OCUPADO
2314,1041,648.3,OCUPADO
2361,1062,603.9,OCUPADO
2335,1050,628.5,OCUPADO
2359,1061,605.8,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2356,1060,608.6,OCUPADO
2338,1052,625.6,OCUPADO
2354,1059,610.5,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2366,1064,599.2,OCUPADO
2373,1067,592.6,OCUPADO
2358,1061,606.7,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2378,1070,587.8000000000001,OCUPADO
2383,1072,583.1,OCUPADO
2369,1066,596.3,OCUPADO
2396,1078,570.8000000000001,OCUPADO
2382,1071,584.1,OCUPADO
2378,1070,587.8000000000001,OCUPADO
2346,1055,618.1,OCUPADO
2376,1069,589.7,OCUPADO
2382,1071,584.1,OCUPADO
2359,1061,605.8,OCUPADO
2358,1061,606.7,OCUPADO
2374,1068,591.6,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2391,1075,575.6,OCUPADO
2386,1073,580.3000000000001,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2382,1071,584.1,OCUPADO
2436,1096,533.0,OCUPADO
2361,1062,603.9,OCUPADO
2379,1070,586.9,OCUPADO
2385,1073,581.2,OCUPADO
2384,1072,582.1999999999999,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2373,1067,592.6,OCUPADO
2369,1066,596.3,OCUPADO
2369,1066,596.3,OCUPADO
